HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,PassengerGroups,PassengerNums,CabinDeck,CabinNumber,CabinSide,Surname,AgeGroups,Transported
1,1,1,38,0,0,0,0,0,0,264,2,1,5,2,1694,3,0
1,0,3,32,0,1340,0,0,8517,1256,264,3,1,5,2,1694,1,0
3,0,1,44,0,696,0,462,46,94,266,1,6,12,1,8,4,0
3,0,1,18,0,1542,0,138,0,0,266,2,2,57,1,8,1,0
3,0,1,49,0,108,0,41,1560,0,268,1,2,58,1,1400,2,0
3,0,3,23,0,3186,0,0,2,0,268,2,6,13,1,1400,4,0
2,0,1,31,0,41,334,1,62,484,271,1,4,44,1,701,5,0
3,0,1,55,0,1054,0,2,0,1,272,1,7,10,1,1079,1,0
3,0,1,60,0,60,0,7022,0,0,273,1,2,60,1,1842,2,0
3,1,1,20,0,0,0,0,0,0,273,2,2,60,1,1842,0,0
3,0,1,34,0,301,0,79,919,0,273,3,6,14,1,1842,2,0
3,0,1,14,0,123,0,0,1936,22,274,1,6,17,2,273,1,0
3,1,1,26,0,0,0,0,0,0,274,2,6,17,2,273,1,0
1,0,3,19,0,0,86,0,368,4055,276,1,1,6,2,1301,3,0
1,1,1,25,0,0,0,0,0,0,276,2,1,6,2,1301,1,0
2,0,3,42,0,98,10,0,613,0,279,1,2,62,1,866,4,0
2,0,1,18,0,212,678,12,0,0,280,1,2,53,2,1397,2,0
3,0,1,50,0,0,0,1299,0,0,284,1,6,15,1,26,4,0
2,0,1,26,0,0,0,0,1079,281,292,1,2,56,2,2044,2,0
1,1,1,47,0,0,0,0,0,0,293,1,4,442,2,587,5,0
2,0,2,35,0,0,627,0,44,0,295,1,2,66,1,372,1,0
3,0,3,58,0,73,0,422,978,0,296,1,2,57,2,1829,2,0
2,0,3,20,0,376,0,242,1,0,299,1,2,58,2,198,0,0
1,0,1,28,0,5,11549,132,4966,524,300,1,7,11,1,1,1,0
2,1,2,12,0,0,0,0,0,0,308,1,4,48,1,906,1,0
2,0,3,20,0,0,0,0,10,0,311,1,6,17,1,836,2,0
2,1,1,22,0,0,0,0,0,0,312,1,4,49,1,1825,1,0
2,0,1,31,0,0,34,81,0,608,317,1,4,43,2,1733,1,0
2,1,2,24,0,0,0,0,0,0,318,1,4,52,1,1161,1,0
3,0,1,17,0,1031,0,1026,42,0,319,1,6,18,1,614,4,0
3,1,3,26,0,0,0,0,0,0,319,2,2,69,1,614,3,0
2,1,3,18,0,0,0,0,0,0,323,1,4,442,2,990,2,0
2,0,1,48,0,0,755,0,0,0,325,1,4,54,1,438,1,0
2,0,1,38,0,3,1252,1,0,0,328,1,2,71,1,1090,1,0
1,1,3,33,0,0,0,0,0,0,329,1,1,14,1,1729,4,0
2,1,1,20,0,0,0,0,0,0,332,1,4,55,1,12,0,0
3,0,1,22,0,0,0,0,0,0,335,1,6,20,2,9,1,0
2,0,1,52,0,356,34,288,0,124,339,1,2,75,1,660,0,0
2,0,3,15,0,638,0,7,0,0,339,2,2,75,1,616,1,0
2,0,1,25,0,10,2,755,0,9,339,3,2,75,1,616,4,0
2,1,3,14,0,0,0,0,0,0,339,4,4,56,1,1258,3,0
2,1,3,26,0,0,0,0,0,0,339,5,4,56,1,616,1,0
2,0,1,16,0,1395,0,0,21,522,339,6,2,75,1,616,3,0
2,0,1,48,0,1,0,259,308,450,339,7,4,56,1,660,2,0
2,0,1,36,0,0,69,0,0,796,339,8,2,75,1,660,4,0
2,0,2,19,0,0,74,610,0,0,342,1,6,19,1,229,2,0
2,1,2,43,0,0,0,0,0,0,342,2,4,58,1,229,1,0
1,1,1,32,0,0,0,0,0,0,344,1,8,8,1,2053,2,0
1,0,3,54,0,0,8,4391,4882,7,344,2,8,8,1,906,2,0
1,0,1,33,0,0,1030,0,3490,5832,349,1,3,4,2,1179,1,0
1,1,1,21,0,0,0,0,0,0,349,2,3,4,2,1179,2,0
1,0,1,33,0,23,0,737,493,1373,349,3,3,4,2,1179,3,0
1,1,3,28,0,0,0,0,0,0,349,4,3,4,2,1179,0,0
1,0,1,23,0,0,1468,0,704,1193,349,5,3,4,2,1179,1,0
1,0,1,26,0,8,67,0,393,1975,349,6,3,4,2,1179,6,0
3,1,1,41,0,0,0,0,0,0,351,1,2,77,1,724,1,0
2,1,1,2,0,0,0,0,0,0,353,1,4,61,1,19,2,0
2,1,2,21,0,0,0,0,0,0,353,2,4,61,1,19,0,0
2,0,2,70,0,130,0,1247,0,3,354,1,2,79,1,1252,0,0
2,0,1,20,0,0,1704,3,0,0,362,1,2,80,1,191,3,0
2,0,1,31,0,273,722,1,0,0,363,1,6,22,2,1363,3,0
2,0,1,8,0,0,0,0,0,0,363,2,6,22,2,1363,1,0
2,1,1,5,0,0,0,0,0,0,363,3,6,22,2,1363,4,0
3,0,1,45,0,288,0,932,4,0,364,1,2,81,1,1484,1,0
3,0,1,37,0,731,0,517,50,0,364,2,4,442,2,1484,3,0
2,1,1,24,0,0,0,0,0,0,366,1,4,52,2,906,5,0
1,0,3,55,0,0,538,0,6,5288,367,1,7,11,2,156,5,0
2,0,1,18,0,0,251,0,0,553,374,1,2,86,1,1013,4,0
2,0,1,36,0,6,0,0,783,0,374,2,4,442,2,1013,2,0
3,0,1,59,0,1678,0,0,0,0,386,1,7,12,2,268,1,0
2,1,1,61,0,0,0,0,0,0,390,1,4,67,1,93,1,0
2,0,3,46,0,4908,1,3,1,14,393,1,4,58,2,1134,2,0
3,0,1,29,0,87,1192,67,0,3,394,1,2,87,1,1959,2,0
2,1,1,18,0,0,0,0,0,0,399,1,4,68,1,449,2,0
1,1,1,20,0,0,0,0,0,0,400,1,8,10,1,1333,1,0
3,0,1,28,0,4,0,2219,0,0,404,1,2,88,1,10,4,0
2,0,1,26,0,708,183,10,0,0,406,1,2,70,2,594,4,0
2,0,1,32,0,642,0,759,332,1444,414,1,2,93,1,104,0,0
2,0,1,18,0,658,0,0,0,5,416,1,6,23,2,209,2,0
2,0,1,50,0,1,0,0,736,0,418,1,2,94,1,17,4,0
2,0,1,47,0,239,75,487,7,0,419,1,4,70,1,1343,2,0
2,1,2,15,0,0,0,0,0,0,419,2,4,70,1,906,5,0
2,1,1,35,0,0,0,0,0,0,419,3,4,70,1,1343,4,0
2,0,1,49,0,189,0,0,882,0,420,1,2,95,1,1194,1,0
1,0,3,32,0,0,2116,6252,0,81,421,1,8,12,1,1607,3,0
2,0,1,63,0,4,6,0,0,835,422,1,4,61,2,207,4,0
3,0,1,54,0,129,0,441,1028,0,424,1,2,73,2,253,2,0
2,0,1,21,0,128,0,20,628,0,426,1,2,74,2,828,2,0
3,0,1,38,0,1030,1347,197,3,0,440,1,7,14,1,2102,2,0
3,0,1,50,0,0,0,0,0,0,443,1,6,24,2,426,2,0
2,0,2,32,0,1,0,858,0,689,450,1,2,82,2,307,1,0
1,1,3,33,0,0,0,0,0,0,451,1,8,17,2,11,3,0
1,0,1,30,0,0,870,67,1,461,455,1,7,16,1,475,5,0
2,1,1,28,0,0,0,0,0,0,464,1,4,68,2,558,2,0
3,1,1,22,0,0,0,0,0,0,467,1,7,17,1,44,1,0
3,1,1,26,0,0,0,0,0,0,467,2,7,17,1,44,3,0
3,1,3,37,0,0,0,0,0,0,467,3,7,17,1,44,3,0
3,0,1,59,0,53,0,2736,0,0,467,4,7,17,1,44,3,0
1,0,1,31,0,0,2522,0,0,2756,469,1,8,18,2,1124,2,0
2,0,1,25,0,246,0,541,0,16,473,1,2,102,1,549,3,0
1,0,1,38,0,8,147,0,7668,46,478,1,8,14,1,1934,4,0
1,1,3,37,0,0,0,0,0,0,478,2,8,14,1,1934,1,0
1,1,3,44,0,0,0,0,0,0,479,1,1,16,2,12,2,0
1,1,1,28,0,0,0,0,0,0,483,1,7,18,1,13,1,0
1,0,1,45,0,0,0,0,0,0,483,2,7,18,1,13,3,0
3,1,3,53,0,0,0,0,0,0,484,1,2,104,1,2162,2,0
2,0,3,21,0,0,0,687,0,21,486,1,4,75,1,14,4,0
3,1,1,33,0,0,0,0,0,0,489,1,6,31,1,274,1,0
3,1,1,18,0,0,0,0,0,0,489,2,2,105,1,274,1,0
2,0,2,37,0,0,0,1022,15,0,491,1,2,106,1,1006,0,0
3,0,1,34,0,648,0,371,38,0,492,1,7,17,2,15,0,0
2,1,1,46,0,0,0,0,0,0,493,1,4,72,2,906,0,0
1,1,3,18,0,0,0,0,0,0,494,1,8,15,1,16,0,0
1,0,1,19,0,1,1378,63,163,659,494,2,8,15,1,16,2,0
2,1,1,4,0,0,0,0,0,0,495,1,4,73,2,1566,0,0
2,1,1,0,0,0,0,0,0,0,495,2,4,73,2,1566,0,0
2,1,1,12,0,0,0,0,0,0,495,3,4,73,2,1566,0,0
2,0,1,7,0,0,0,0,0,0,495,4,4,73,2,1566,2,0
2,0,1,34,0,1729,17,0,0,1298,495,5,4,73,2,1566,1,0
2,0,1,10,0,0,0,0,0,0,495,6,4,73,2,1566,3,0
2,0,3,0,0,0,0,0,0,0,496,1,4,77,1,864,2,0
2,1,2,14,0,0,0,0,0,0,496,2,4,77,1,864,1,0
3,1,1,27,0,0,0,0,0,0,497,1,2,107,1,252,1,0
2,0,1,21,0,15,345,18,486,0,505,1,2,108,1,1317,2,0
1,0,3,37,0,4105,2081,1,118,446,508,1,7,20,1,538,2,0
2,1,1,29,0,0,0,0,0,0,509,1,4,442,2,626,1,0
2,0,1,17,0,441,0,131,315,5,511,1,4,76,2,485,3,0
2,1,1,17,0,0,0,0,0,0,514,1,4,79,1,1549,5,0
1,0,1,35,0,0,6442,672,238,60,524,1,9,0,2,1293,2,0
2,1,1,34,0,0,0,0,0,0,526,1,4,80,1,1273,1,0
1,0,1,17,0,760,752,0,16,2471,530,1,1,21,2,128,2,0
1,0,3,39,0,0,547,0,1121,4641,530,2,1,21,2,128,0,0
1,1,3,56,0,0,0,0,0,0,530,3,1,21,2,128,3,0
1,0,3,35,0,3424,20,0,442,1130,532,1,1,22,2,17,3,0
1,1,1,17,0,0,0,0,0,0,532,2,1,22,2,17,3,0
2,0,2,29,0,0,0,288,395,0,535,1,6,34,2,639,1,0
3,0,1,15,0,4922,0,2427,0,0,536,1,2,94,2,556,5,0
3,0,1,37,0,1063,133,99,2,0,536,2,6,35,2,556,3,0
1,1,1,36,0,0,0,0,0,0,541,1,1,23,2,18,1,0
2,1,1,36,0,0,0,0,0,0,543,1,4,85,1,967,5,0
1,0,1,18,0,4,9352,0,10,46,544,1,8,20,2,2208,2,0
3,0,1,61,0,2221,0,0,1,0,554,1,2,112,1,316,0,0
3,1,1,45,0,0,0,0,0,0,557,1,2,113,1,19,2,0
3,1,1,21,0,0,0,0,0,0,557,2,2,113,1,19,1,0
2,0,1,65,0,0,804,0,0,0,558,1,2,101,2,588,3,0
3,0,1,27,0,286,0,1023,0,0,562,1,2,104,2,1024,1,0
3,1,1,13,0,0,0,0,0,0,562,2,2,104,2,1024,1,0
3,0,1,32,0,2543,1,55,0,0,574,1,4,442,2,433,3,0
2,1,1,17,0,0,0,0,0,0,578,1,4,84,2,828,3,0
2,0,1,44,0,0,0,0,0,0,578,2,4,84,2,828,1,0
2,1,1,21,0,0,0,0,0,0,584,1,4,88,1,147,1,0
2,0,1,16,0,0,379,0,2488,1,584,2,2,119,1,147,3,0
2,0,1,41,0,0,1032,0,0,32,592,1,2,122,1,904,3,0
2,1,1,40,0,0,0,0,0,0,595,1,4,88,2,1040,4,0
2,0,1,16,0,0,492,0,0,0,601,1,4,92,1,223,3,0
2,0,1,17,0,0,24,673,0,0,604,1,2,127,1,464,2,0
2,0,1,40,0,5,0,3,447,424,605,1,2,110,2,1199,1,0
2,1,2,37,0,0,0,0,0,0,606,1,4,93,1,733,4,0
1,1,1,53,0,0,0,0,0,0,613,1,1,26,1,2166,1,0
1,1,1,42,0,0,0,0,0,0,613,2,1,26,1,2166,1,0
2,0,1,31,0,0,428,0,1154,1025,616,1,6,40,2,20,1,0
3,0,1,18,0,1644,430,158,0,0,617,1,2,130,1,1643,3,0
3,0,1,51,1,755,6,284,102,0,620,1,2,132,1,2117,2,0
3,0,1,20,0,0,0,1281,8,0,620,2,2,132,1,2117,0,0
3,0,3,19,0,0,0,1435,15,0,620,3,2,132,1,2117,3,0
2,0,1,22,0,499,46,174,61,7,621,1,6,41,2,236,1,0
1,0,3,41,0,0,1528,11,10243,17,622,1,1,27,1,1017,1,0
1,0,1,28,0,0,1048,1469,0,22,624,1,6,42,2,1225,1,0
3,1,3,0,0,0,0,0,0,0,625,1,2,111,2,1182,1,0
3,1,1,42,0,0,0,0,0,0,625,2,2,111,2,906,3,0
3,1,3,20,0,0,0,0,0,0,625,3,2,111,2,1182,1,0
1,1,3,25,0,0,0,0,0,0,626,1,1,24,2,1303,1,0
1,1,1,22,0,0,0,0,0,0,626,2,1,24,2,2143,1,0
1,0,1,25,1,30,5718,0,0,1385,626,3,7,21,2,2143,3,0
3,0,1,45,0,0,0,1057,0,0,627,1,7,22,2,1699,2,0
2,0,1,19,0,0,77,0,532,256,632,1,2,134,1,1760,3,0
2,0,2,16,0,72,4,1456,0,0,632,2,6,37,1,1760,1,0
2,1,1,18,0,0,0,0,0,0,632,3,4,97,1,1760,0,0
1,1,1,38,0,0,0,0,0,0,640,1,7,26,1,1503,1,0
1,1,3,27,0,0,0,0,0,0,640,2,7,26,1,1503,0,0
3,0,3,36,0,748,0,222,0,0,648,1,7,27,1,1726,0,0
3,0,1,21,0,1045,90,1110,333,0,648,2,7,27,1,1726,0,0
2,0,1,1,0,0,0,0,0,0,649,1,4,99,1,964,2,0
1,1,1,25,0,0,0,0,0,0,651,1,7,28,1,1610,0,0
2,1,2,3,0,0,0,0,0,0,652,1,4,96,2,1820,7,0
2,0,1,7,0,0,0,0,0,0,652,2,4,96,2,1820,1,0
2,0,1,0,0,0,0,0,0,0,652,3,4,96,2,1820,2,0
2,0,1,32,0,632,0,0,2,0,652,4,2,116,2,1820,0,0
2,0,3,5,0,0,0,0,0,0,652,5,4,96,2,1820,4,0
2,0,1,79,0,0,0,881,7,0,654,1,4,100,1,909,3,0
2,0,1,19,0,0,0,691,0,57,662,1,2,139,1,760,2,0
2,1,1,30,0,0,0,0,0,0,666,1,4,100,2,596,2,0
2,0,1,13,0,1,875,0,0,0,666,2,2,119,2,596,5,0
3,0,1,53,0,596,0,1608,505,0,667,1,7,29,1,677,1,0
3,0,1,40,0,710,379,264,0,5,670,1,6,40,1,1862,1,0
3,0,1,32,0,1279,0,20,0,0,670,2,6,40,1,1862,0,0
2,1,3,31,0,0,0,0,0,0,673,1,4,104,1,124,3,0
2,0,1,63,0,13,1415,0,170,21,675,1,6,47,2,414,3,0
3,0,1,18,0,0,0,54,0,0,676,1,2,120,2,906,5,0
2,1,1,21,0,0,0,0,0,0,681,1,4,106,1,506,1,0
2,0,1,14,0,9,0,1790,8,31,692,1,2,124,2,1888,0,0
2,1,2,41,0,0,0,0,0,0,694,1,4,105,2,1927,1,0
2,1,3,40,0,0,0,0,0,0,695,1,4,106,2,1505,0,0
2,0,1,58,0,0,0,46,755,0,698,1,2,125,2,1074,0,0
2,0,1,22,0,0,65,221,5,304,700,1,2,148,1,1591,3,0
2,1,3,13,0,0,0,0,0,0,706,1,4,108,1,1042,1,0
1,1,1,16,0,0,0,0,0,0,708,1,1,29,1,1212,1,0
1,1,3,13,0,0,0,0,0,0,708,2,1,29,1,634,2,0
3,0,1,15,0,1344,0,1020,0,1,711,1,2,128,2,888,0,0
3,0,1,42,0,466,0,583,0,0,716,1,6,51,2,21,3,0
1,1,1,24,0,0,0,0,0,0,717,1,1,31,1,2120,4,0
1,0,3,19,0,0,1502,1,874,437,717,2,1,31,1,2120,1,0
1,1,1,26,0,0,0,0,0,0,717,3,1,31,1,2120,1,0
1,1,1,29,0,0,0,0,0,0,717,4,1,31,1,1508,4,0
1,0,1,15,0,0,437,0,2,4679,717,5,1,31,1,2120,1,0
1,0,1,38,0,1,2352,1604,66,2583,717,6,1,31,1,2120,2,0
1,1,3,49,0,0,0,0,0,0,717,7,1,31,1,2120,3,0
3,1,1,20,0,0,0,0,0,0,720,1,2,129,2,2162,1,0
3,0,1,26,0,0,0,0,0,0,720,2,6,52,2,1704,2,0
3,0,1,19,0,1661,0,350,336,231,720,3,7,26,2,1704,1,0
2,0,1,46,0,17,43,659,40,0,721,1,2,130,2,516,3,0
3,0,1,21,0,559,725,3,0,0,722,1,2,151,1,1376,1,0
2,0,3,29,0,0,0,33,539,0,723,1,2,131,2,1597,2,0
2,1,2,26,0,0,0,0,0,0,725,1,4,110,1,63,1,0
2,0,1,44,0,14,0,1817,2,171,730,1,2,135,2,726,3,0
2,0,1,19,0,720,0,7,0,32,731,1,2,136,2,748,1,0
2,0,1,29,0,60,480,5,0,276,731,2,2,136,2,748,2,0
3,0,1,25,0,266,98,748,169,6,735,1,2,155,1,690,2,0
2,0,1,41,0,0,885,0,0,0,739,1,4,442,2,1865,2,0
2,0,3,19,0,0,163,1487,1,223,741,1,2,137,2,867,1,0
3,0,1,33,0,4,153,892,0,0,742,1,6,54,2,1628,1,0
3,1,1,25,0,0,0,0,0,0,742,2,2,138,2,1628,1,0
1,1,3,44,0,0,0,0,0,0,744,1,1,26,2,1980,2,0
2,0,1,21,0,0,0,0,787,1,745,1,6,45,1,2124,1,0
3,0,1,32,0,530,0,1195,11,788,747,1,2,158,1,312,6,0
3,1,1,33,0,0,0,0,0,0,748,1,2,139,2,1514,4,0
3,0,1,32,0,1705,0,175,434,172,748,2,2,139,2,1514,3,0
3,1,1,19,0,0,0,0,0,0,749,1,2,159,1,1550,1,0
3,1,1,21,0,0,0,0,0,0,751,1,2,141,2,1767,3,0
2,1,1,23,0,0,0,0,0,0,752,1,4,113,2,944,1,0
1,0,3,31,0,0,1029,1247,0,52,755,1,7,32,1,1510,2,0
1,0,1,22,0,3,2490,0,1197,144,758,1,8,29,2,1761,4,0
1,1,3,74,0,0,0,0,0,0,758,2,4,442,2,1761,2,0
1,0,1,53,0,472,3,0,1935,2505,758,3,8,29,2,1761,2,0
1,1,3,40,0,0,0,0,0,0,759,1,8,25,1,1619,2,0
1,0,3,23,0,0,4733,0,1412,4419,759,2,8,25,1,1619,3,0
1,1,1,36,0,0,0,0,0,0,759,3,8,25,1,1619,0,0
2,0,1,18,0,178,0,11,478,0,760,1,2,160,1,768,0,0
1,1,1,29,0,0,0,0,0,0,763,1,8,30,2,1822,1,0
1,0,1,48,0,1,14,2,3717,0,763,2,8,30,2,1822,1,0
3,1,1,34,0,0,0,0,0,0,766,1,6,55,2,1480,2,0
1,0,1,34,0,0,3410,0,0,1456,774,1,8,27,1,1059,4,0
1,0,3,27,0,0,1288,0,1342,3506,774,2,1,33,1,1059,3,0
1,0,1,44,0,0,0,0,0,0,774,3,1,33,1,22,1,0
1,0,1,0,0,0,0,0,0,0,775,1,8,31,2,23,4,0
1,1,1,1,0,0,0,0,0,0,775,2,8,31,2,23,2,0
1,1,1,18,0,0,0,0,0,0,775,3,8,31,2,23,1,0
