HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,PassengerGroups,PassengerNums,CabinDeck,CabinNumber,CabinSide,Surname,AgeGroups
2,1,3,9,0,0,0,0,0,0,True,103,2,4,18,2,70,2
2,1,1,6,0,0,0,0,0,0,False,103,3,4,18,2,70,1
2,0,1,27,0,0,0,570,2,131,False,105,1,2,21,1,71,1
3,0,1,21,0,1743,5,17,0,0,False,107,1,7,2,2,72,2
2,1,1,23,0,0,0,0,0,0,False,108,1,4,19,2,73,0
2,0,1,31,0,562,0,326,0,0,False,108,2,4,19,2,905,2
2,0,1,0,0,0,0,0,0,0,True,108,3,4,19,2,73,3
1,0,1,32,0,0,410,6,3929,764,False,110,1,4,427,2,74,3
1,0,1,40,0,0,331,0,0,1687,False,110,2,1,5,1,75,2
1,0,1,42,0,2209,11418,0,1868,445,True,110,3,1,5,1,74,2
1,1,1,28,0,0,0,0,0,0,True,110,4,1,5,1,74,4
1,1,1,29,0,0,0,0,0,0,True,111,1,6,6,2,76,5
1,0,3,48,1,0,2537,87,17,13,True,112,1,1,1,2,77,2
2,0,1,64,0,0,0,804,0,0,True,113,1,2,23,1,78,2
2,0,1,27,0,82,157,429,238,1,False,114,1,4,20,2,79,2
3,0,1,26,0,0,0,0,0,0,True,115,1,2,24,1,80,3
1,0,1,33,0,1,2223,0,12,404,True,116,1,7,4,1,81,0
2,0,1,39,0,0,2344,0,65,6898,False,119,1,3,0,1,82,1
1,1,1,13,0,0,0,0,0,0,True,119,2,3,0,1,82,2
3,1,1,24,0,0,0,0,0,0,True,120,1,2,25,1,59,1
2,0,1,29,0,0,0,0,699,74,False,122,1,4,21,2,83,6
2,0,1,18,0,55,597,49,0,1,False,123,1,2,27,1,84,2
3,1,1,67,0,0,0,0,0,0,True,126,1,2,27,2,85,5
3,0,1,35,0,701,0,296,0,25,False,127,1,6,7,2,86,3
3,0,1,61,1,2353,334,9,316,2,False,128,1,7,3,2,87,1
3,0,1,45,0,2103,6,0,0,0,False,128,2,6,8,2,87,1
2,1,2,22,0,0,0,0,0,0,True,129,1,4,22,2,88,3
3,1,1,19,0,0,0,0,0,0,True,133,1,2,29,2,89,1
3,0,1,36,0,2738,0,0,0,0,False,133,2,7,5,2,89,4
2,0,1,19,0,0,14,730,0,0,True,134,1,4,17,1,90,0
2,0,2,47,0,97,418,126,25,55,False,136,1,4,23,2,905,2
2,1,1,13,0,0,0,0,0,0,True,138,1,4,18,1,91,2
2,0,1,34,0,0,22,0,564,207,False,138,2,6,5,1,91,1
1,1,3,35,0,0,0,0,0,0,True,139,1,8,6,2,92,2
2,1,1,24,0,0,0,0,0,0,True,140,1,4,19,1,93,2
2,0,1,26,0,440,0,0,0,462,False,140,2,2,29,1,94,1
3,0,1,31,0,0,0,97,0,0,False,141,1,2,30,1,95,5
2,0,1,20,0,0,420,210,0,0,True,144,1,2,31,2,96,4
2,0,1,56,0,0,0,0,0,0,False,146,1,4,25,2,97,3
2,1,1,50,0,0,0,0,0,0,True,147,1,4,26,2,98,3
3,0,1,42,0,1072,0,10,0,76,False,148,1,2,31,1,99,3
2,1,3,27,0,0,0,0,0,0,True,149,1,4,27,2,98,1
2,1,3,38,0,0,0,0,0,0,False,151,1,4,20,1,100,2
2,0,1,41,0,0,0,0,0,607,False,152,1,2,32,1,101,1
2,0,1,22,0,4119,0,0,0,61,False,160,1,4,22,1,102,5
1,1,1,26,0,0,0,0,0,0,True,163,1,1,8,1,103,1
1,1,1,17,0,0,0,0,0,0,True,163,2,1,8,1,103,2
2,0,1,57,0,50,1688,0,0,135,True,164,1,4,28,2,104,0
2,1,2,17,0,0,0,0,0,0,False,164,2,4,28,2,104,2
3,1,1,35,0,0,0,0,0,0,True,165,1,2,37,1,105,2
3,1,1,13,0,0,0,0,0,0,True,167,1,2,35,2,106,1
3,0,1,27,0,1365,0,48,22,137,False,167,2,2,35,2,106,1
2,1,1,31,0,0,0,0,0,0,False,169,1,4,23,1,107,2
2,0,1,24,0,0,0,0,221,567,False,170,1,6,10,2,108,5
2,1,2,19,0,0,0,0,0,0,True,171,1,4,30,2,109,1
2,1,1,32,0,0,0,0,0,0,True,172,1,4,24,1,37,3
2,0,1,58,0,0,985,0,5,0,True,173,1,6,11,2,110,3
2,0,3,21,0,287,0,16,115,175,False,174,1,2,38,1,111,1
1,0,1,38,0,0,10346,1,14970,2111,False,177,1,1,2,2,112,0
3,0,1,38,0,3414,0,161,28,119,False,178,1,7,6,2,113,0
2,0,1,19,0,1,219,673,2,11,True,179,1,4,26,1,114,1
2,0,1,0,0,0,0,0,0,0,False,179,2,4,26,1,114,1
2,0,1,3,0,0,0,0,0,0,True,179,3,4,26,1,114,3
2,0,1,20,0,0,0,3,299,92,False,181,1,4,27,1,16,1
1,1,1,24,0,0,0,0,0,0,True,182,1,8,3,1,115,5
2,0,1,37,0,17,146,426,0,232,True,183,1,2,36,2,116,4
2,0,1,25,0,62,0,0,0,956,False,186,1,4,28,1,117,0
2,1,1,56,0,0,0,0,0,0,True,188,1,4,31,2,118,0
2,0,3,49,0,84,3,401,202,98,False,189,1,6,8,1,119,0
2,1,3,11,0,0,0,0,0,0,False,190,1,4,32,2,905,3
2,1,1,1,0,0,0,0,0,0,True,192,1,4,29,1,120,0
2,0,1,8,0,0,0,0,0,0,False,192,2,4,29,1,120,1
2,0,1,39,0,0,0,10,898,0,False,192,3,4,29,1,120,0
3,1,1,2,0,0,0,0,0,0,True,193,1,2,41,1,121,3
3,0,1,23,0,0,0,8,1072,0,False,193,2,2,41,1,121,1
3,0,1,0,0,0,0,0,0,0,True,193,3,2,41,1,121,3
3,0,1,39,0,406,0,867,0,0,True,195,1,2,42,1,106,4
3,0,2,25,0,1052,0,719,0,7,False,196,1,7,5,1,122,1
1,0,1,36,0,0,972,0,795,575,False,197,1,8,5,1,123,0
2,0,2,52,0,0,0,0,0,0,True,198,1,4,30,1,124,2
2,1,1,18,0,0,0,0,0,0,False,199,1,4,33,2,125,4
2,1,1,15,0,0,0,0,0,0,True,200,1,4,31,1,126,3
1,1,1,35,0,0,0,0,0,0,True,201,1,1,3,2,127,4
1,1,1,47,0,0,0,0,0,0,True,201,2,1,3,2,127,2
1,1,3,45,0,0,0,0,0,0,True,202,1,1,9,1,128,1
1,0,3,27,0,0,2433,0,878,443,True,202,2,3,2,1,128,1
1,1,1,51,0,0,0,0,0,0,True,203,1,8,8,2,129,2
2,0,1,29,0,0,2,66,0,705,False,205,1,4,34,2,130,0
1,0,3,27,0,2,1720,12,1125,122,True,206,1,8,9,2,131,1
2,1,2,19,0,0,0,0,0,0,False,207,1,4,32,1,18,0
2,1,3,24,0,0,0,0,0,0,True,210,1,7,6,1,132,2
3,0,1,29,0,902,1,137,0,0,True,211,1,2,44,1,133,1
3,1,1,11,0,0,0,0,0,0,True,211,2,2,44,1,133,1
3,0,1,17,0,848,0,307,182,0,False,211,3,2,44,1,134,3
2,0,1,13,0,192,0,0,51,739,False,212,1,6,9,1,135,1
2,0,1,35,0,147,188,0,10,387,False,212,2,2,45,1,135,0
2,0,1,21,0,367,281,0,0,146,False,213,1,2,46,1,136,0
2,0,3,21,0,0,56,0,0,1918,False,216,1,2,40,2,137,0
2,0,1,38,0,1517,0,0,27,0,False,217,1,2,47,1,138,1
2,1,1,19,0,0,0,0,0,0,True,219,1,4,36,1,139,1
2,1,1,2,0,0,0,0,0,0,True,220,1,4,37,1,140,0
2,0,1,0,0,0,0,0,0,0,True,220,2,4,37,1,140,0
2,1,1,13,0,0,0,0,0,0,False,220,3,4,37,1,140,1
2,0,1,25,0,122,84,0,0,0,False,220,4,6,10,1,140,1
2,0,1,16,0,0,3,0,0,1099,False,220,5,2,48,1,140,2
2,0,3,1,0,0,0,0,0,0,False,220,6,4,37,1,140,1
2,1,1,15,0,0,0,0,0,0,True,220,7,4,37,1,140,3
3,0,3,21,0,2237,0,119,0,0,False,221,1,6,13,2,141,1
3,0,1,23,0,1215,80,1,2,0,False,221,2,6,13,2,142,3
3,0,1,33,0,1933,12,188,1,0,False,221,3,6,13,2,142,1
3,1,1,21,0,0,0,0,0,0,True,221,4,6,13,2,142,1
3,0,1,41,0,1230,0,301,43,1023,False,221,5,6,13,2,142,1
3,0,1,16,0,915,0,221,234,0,False,221,6,6,13,2,142,1
3,1,1,42,0,0,0,0,0,0,False,221,7,6,13,2,142,2
3,0,1,20,0,1406,0,0,11,0,False,222,1,2,41,2,143,5
3,1,1,24,0,0,0,0,0,0,True,222,2,2,41,2,144,1
3,1,1,16,0,0,0,0,0,0,True,222,3,6,14,2,143,2
2,0,1,21,0,0,2,665,0,9,False,223,1,4,35,2,145,2
3,0,1,32,1,181,0,5,1634,0,False,224,1,2,42,2,146,2
2,1,2,58,0,0,0,0,0,0,True,225,1,4,38,1,147,3
2,0,1,24,0,4,7,0,713,79,False,229,1,2,43,2,148,3
3,0,1,30,0,85,0,1,1720,0,False,231,1,2,44,2,149,3
2,1,2,27,0,0,0,0,0,0,False,232,1,4,36,2,150,2
3,0,1,32,0,56,0,256,1438,0,False,233,1,2,45,2,151,2
2,0,1,43,0,0,888,0,0,0,False,234,1,2,50,1,152,1
1,1,1,42,0,0,0,0,0,0,True,237,1,1,11,1,153,1
3,0,1,37,0,637,0,0,92,319,False,239,1,4,427,2,154,3
3,1,1,35,0,0,0,0,0,0,True,240,1,2,52,1,155,0
1,0,3,33,0,0,1249,0,4812,1116,False,241,1,6,11,1,156,4
2,0,1,18,0,313,1,691,283,0,False,242,1,2,46,2,157,2
2,1,1,21,0,0,0,0,0,0,False,243,1,4,37,2,158,1
3,1,1,43,0,0,0,0,0,0,True,244,1,4,427,2,159,2
3,1,3,14,0,0,0,0,0,0,True,244,2,2,47,2,159,4
1,0,3,46,0,0,3571,0,0,7,True,245,1,8,6,1,160,4
1,0,1,33,0,0,86,796,584,10912,False,245,2,8,6,1,160,2
3,0,1,21,0,2947,0,287,27,0,False,246,1,7,8,1,161,2
1,0,1,33,0,0,1,0,8620,1063,False,248,1,8,10,2,162,1
2,1,2,47,0,0,0,0,0,0,False,250,1,4,38,2,163,1
2,1,3,54,0,0,0,0,0,0,True,251,1,8,11,2,164,1
2,0,1,30,0,335,695,541,0,0,False,252,1,2,53,1,165,5
2,0,1,29,0,272,615,0,0,1,False,253,1,4,42,1,166,1
2,0,1,21,0,702,172,408,2,6,True,254,1,2,54,1,167,2
1,1,1,24,0,0,0,0,0,0,True,255,1,3,3,2,168,2
3,0,3,21,0,1664,0,0,0,0,False,257,1,2,49,2,169,2
3,1,1,60,0,0,0,0,0,0,True,257,2,2,49,2,169,3
2,0,1,22,0,0,0,313,299,92,False,258,1,2,50,2,170,0
1,0,1,26,0,0,4810,0,981,2054,False,260,1,6,16,2,171,4
2,0,1,26,0,66,29,0,0,803,False,261,1,2,56,1,172,5
2,1,1,28,0,0,0,0,0,0,True,263,1,4,43,1,173,4
1,1,1,39,0,0,0,0,0,0,True,265,1,7,8,2,174,2
2,0,1,13,0,118,0,0,754,1,False,267,1,2,51,2,175,3
2,0,3,47,0,0,231,592,0,0,True,269,1,2,52,2,176,1
2,0,1,63,0,0,25,128,0,1240,False,270,1,2,59,1,177,1
1,1,3,27,0,0,0,0,0,0,True,275,1,7,9,2,178,2
2,0,3,50,0,44,2390,0,53,0,True,277,1,2,61,1,179,1
2,0,1,35,0,0,0,0,888,0,False,278,1,4,427,2,180,0
2,0,1,45,0,0,97,0,14,333,False,278,2,4,45,1,180,3
2,0,1,19,0,0,0,2078,0,0,True,281,1,2,63,1,181,5
2,0,1,21,0,0,918,0,0,0,True,282,1,2,54,2,10,3
2,1,2,29,0,0,0,0,0,0,True,283,1,4,46,1,182,2
2,0,1,22,0,146,654,1,0,2,True,283,2,2,64,1,182,1
1,1,1,14,0,0,0,0,0,0,True,285,1,6,16,1,183,1
1,1,3,42,0,0,0,0,0,0,True,285,2,6,16,1,183,2
2,0,3,57,0,3,1281,29,162,13,False,286,1,2,65,1,184,1
1,1,3,39,0,0,0,0,0,0,True,287,1,4,427,2,185,3
1,0,1,28,0,0,587,32,6,1460,False,287,2,1,12,1,185,0
2,0,3,19,0,0,0,0,0,828,False,288,1,2,55,2,186,3
1,1,3,19,0,0,0,0,0,0,True,289,1,8,12,2,187,4
1,0,3,26,0,0,4458,0,1157,262,True,290,1,1,7,2,188,1
1,1,1,17,0,0,0,0,0,0,True,290,2,1,7,2,188,5
1,0,1,43,0,0,0,0,0,0,True,290,3,1,7,2,188,1
1,0,3,9,0,0,0,0,0,0,True,290,4,1,7,2,188,1
1,0,1,40,0,0,6500,88,1090,0,True,291,1,7,10,2,189,1
1,1,1,50,0,0,0,0,0,0,True,294,1,1,8,2,190,2
2,0,1,24,0,90,2,1324,17,0,True,297,1,4,47,1,191,1
1,1,3,57,0,0,0,0,0,0,True,298,1,3,3,1,192,1
2,1,1,16,0,0,0,0,0,0,False,301,1,4,427,2,193,1
2,0,1,23,0,0,0,15,0,1370,False,302,1,2,67,1,117,1
2,1,1,23,0,0,0,0,0,0,True,303,1,4,41,2,194,6
1,0,1,28,0,0,422,0,1851,5166,False,304,1,6,18,2,195,5
1,0,3,23,0,0,584,0,20,2469,False,305,1,8,7,1,196,4
2,0,1,23,0,368,175,259,1,101,False,306,1,6,19,2,197,0
2,0,1,18,0,0,0,1359,0,0,True,307,1,2,59,2,198,2
2,0,1,18,0,1194,0,157,6,0,False,309,1,2,60,2,199,2
1,0,1,67,0,0,230,0,4476,241,False,310,1,4,427,2,200,1
2,0,2,60,0,7,540,1,0,4,True,313,1,2,68,1,201,1
2,1,3,27,0,0,0,0,0,0,True,313,2,4,50,1,201,1
2,0,3,49,0,331,0,0,318,0,True,313,3,2,68,1,201,1
2,0,3,0,0,0,0,0,0,0,True,313,4,4,50,1,201,5
2,0,3,26,0,386,0,74,0,1330,False,314,1,4,51,1,202,0
2,1,2,35,0,0,0,0,0,0,True,315,1,4,42,2,203,3
1,0,1,24,0,0,2628,0,170,0,True,316,1,1,9,2,192,2
1,1,1,20,0,0,0,0,0,0,True,316,2,1,9,2,192,1
2,0,1,18,0,0,2,0,0,0,False,320,1,4,44,2,204,0
2,0,1,21,0,0,5,3,0,0,False,320,2,4,44,2,204,2
2,0,1,59,1,1018,0,209,0,0,False,321,1,2,61,2,205,2
2,1,2,13,0,0,0,0,0,0,False,322,1,4,45,2,206,1
2,1,3,43,0,0,0,0,0,0,False,324,1,4,53,1,207,2
2,1,1,29,0,0,0,0,0,0,False,326,1,4,47,2,208,2
2,0,1,19,0,17,0,784,0,2,True,327,1,4,427,2,209,3
1,0,1,2,0,0,0,0,0,0,True,330,1,8,14,2,210,0
1,0,1,32,0,247,4651,0,46,202,True,330,2,8,14,2,905,1
1,0,1,33,0,443,317,0,148,1260,False,330,3,8,14,2,210,0
2,0,1,25,0,0,0,251,0,552,False,331,1,2,72,1,211,1
3,1,3,29,0,0,0,0,0,0,True,333,1,2,73,1,212,3
3,0,1,29,0,5715,2,211,1476,0,False,334,1,2,62,2,213,0
2,0,1,44,0,695,1,16,0,0,False,336,1,2,74,1,124,2
3,1,3,2,0,0,0,0,0,0,True,337,1,2,63,2,214,2
3,0,1,19,0,417,349,634,3,1057,True,337,2,2,63,2,214,0
3,0,3,0,0,0,0,0,0,0,True,337,3,2,63,2,905,2
2,1,1,18,0,0,0,0,0,0,True,338,1,4,48,2,215,1
1,1,3,38,0,0,0,0,0,0,True,340,1,1,10,2,216,3
2,1,2,5,0,0,0,0,0,0,False,341,1,4,57,1,114,0
2,0,2,31,0,121,0,0,274,907,False,343,1,2,76,1,42,1
3,1,1,30,0,0,0,0,0,0,False,345,1,6,21,2,217,1
2,1,3,15,0,0,0,0,0,0,True,346,1,4,59,1,218,3
3,0,1,27,0,434,0,1434,0,0,False,347,1,2,64,2,219,3
3,0,1,22,0,142,2876,202,3,0,True,348,1,7,12,1,220,4
3,0,1,36,0,520,0,1865,0,0,True,348,2,4,427,2,220,2
2,1,2,14,0,0,0,0,0,0,True,350,1,4,60,1,221,2
3,0,1,23,0,2001,0,2975,0,0,False,352,1,2,78,1,222,0
2,1,1,18,0,0,0,0,0,0,True,355,1,4,427,2,223,2
1,1,3,36,0,0,0,0,0,0,True,356,1,1,15,1,224,2
2,0,1,41,0,0,1198,0,124,572,False,357,1,2,65,2,225,5
2,1,1,50,0,0,0,0,0,0,True,358,1,4,50,2,226,1
2,1,2,32,0,0,0,0,0,0,True,358,2,4,50,2,226,2
2,0,2,26,0,148,0,453,0,88,False,359,1,2,66,2,227,1
2,0,1,15,0,358,212,33,0,112,False,360,1,2,67,2,228,1
2,0,3,33,0,0,36,0,280,417,True,361,1,2,68,2,229,3
2,0,3,27,0,0,0,0,685,21,False,365,1,4,51,2,230,1
3,0,1,26,0,2832,107,4447,15,4,False,368,1,2,82,1,143,1
3,1,1,61,0,0,0,0,0,0,True,368,2,2,82,1,143,5
2,0,1,24,0,0,0,592,177,58,True,369,1,4,53,2,231,1
2,0,1,30,0,0,95,0,441,1023,False,370,1,2,83,1,232,1
3,1,1,24,0,0,0,0,0,0,True,371,1,2,84,1,233,7
2,0,1,24,0,0,5,0,2766,0,False,372,1,2,85,1,905,5
2,1,1,41,0,0,0,0,0,0,False,373,1,4,62,1,234,0
2,0,1,20,0,0,0,558,0,230,False,375,1,6,22,1,235,2
2,0,1,22,0,116,0,786,6,0,True,376,1,4,54,2,236,2
1,0,3,63,0,0,1068,0,176,8188,False,377,1,8,15,2,188,2
1,0,3,18,0,17,215,4,5132,697,False,378,1,1,11,2,237,2
1,1,3,21,0,0,0,0,0,0,True,378,2,1,11,2,237,1
1,0,1,79,0,5649,235,7,2579,2175,False,378,3,1,11,2,237,3
1,1,1,56,0,0,0,0,0,0,True,378,4,1,11,2,237,1
1,1,1,13,0,0,0,0,0,0,True,378,5,1,11,2,237,2
1,0,1,33,0,0,2491,6,1173,1059,False,378,6,1,11,2,237,2
1,1,1,32,0,0,0,0,0,0,True,378,7,1,11,2,237,0
2,0,1,31,0,198,0,591,0,164,True,379,1,4,63,1,238,0
1,1,3,26,0,0,0,0,0,0,True,380,1,4,427,2,239,1
1,1,3,18,0,0,0,0,0,0,True,381,1,1,16,1,240,4
1,1,3,38,0,0,0,0,0,0,True,381,2,1,16,1,240,0
2,0,1,23,0,348,0,0,4,368,False,382,1,4,64,1,241,1
2,0,1,28,0,82,773,0,3693,140,False,383,1,4,55,2,242,2
2,1,2,34,0,0,0,0,0,0,False,383,2,4,55,2,242,4
2,0,3,0,0,0,0,0,0,0,True,384,1,4,56,2,243,2
2,0,1,14,0,3,0,881,25,0,True,384,2,4,56,2,243,5
2,0,1,23,0,13,747,0,0,128,False,385,1,4,65,1,244,1
2,1,1,49,0,0,0,0,0,0,False,387,1,4,66,1,245,3
2,1,1,14,0,0,0,0,0,0,False,388,1,4,57,2,246,1
2,0,1,18,0,391,44,356,0,0,False,389,1,6,23,1,247,2
1,0,2,27,1,69,5728,0,0,987,True,391,1,8,9,1,248,2
2,0,1,48,0,0,111,0,1508,0,False,392,1,6,24,1,249,2
1,0,3,31,1,0,11003,552,8157,5688,False,395,1,1,17,1,250,3
1,0,3,61,0,1,608,0,3835,1,False,395,2,1,17,1,250,1
2,1,1,18,0,0,0,0,0,0,True,396,1,4,59,2,251,1
3,1,1,45,0,0,0,0,0,0,True,397,1,2,69,2,252,1
3,0,1,22,0,28,420,36,6011,3,False,398,1,7,13,2,253,3
3,0,1,30,1,1056,0,0,0,0,False,401,1,7,14,2,254,2
3,0,1,30,0,1770,0,0,13,0,False,401,2,7,14,2,254,2
2,1,3,32,1,0,0,0,0,0,True,402,1,7,15,2,255,1
3,0,1,43,1,353,896,0,0,2,True,403,1,7,13,1,256,1
2,0,3,17,0,177,0,0,310,7,False,405,1,2,89,1,257,5
2,0,1,23,0,0,21,0,0,1699,False,407,1,4,69,1,258,1
2,0,1,20,0,0,465,0,5,223,False,407,2,2,90,1,258,3
2,1,1,39,0,0,0,0,0,0,False,407,3,4,69,1,258,6
3,0,1,35,0,1134,113,52,0,0,False,408,1,6,25,1,259,1
3,0,1,31,0,0,0,1116,2,0,False,409,1,2,71,2,260,5
2,0,3,21,0,0,150,0,567,0,False,410,1,2,72,2,261,3
2,0,1,16,0,691,0,101,140,0,False,411,1,2,91,1,262,0
1,0,1,60,0,0,7255,5952,1537,0,True,412,1,8,11,1,263,2
2,0,1,18,0,0,157,0,352,60,False,413,1,2,92,1,264,2
2,1,1,42,0,0,0,0,0,0,False,415,1,4,60,2,181,2
1,1,3,68,0,0,0,0,0,0,True,417,1,1,18,1,265,1
